"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Arg_C0.N4",0.0334364752406394,0.102611612853634,0.168997018144385,0.0424312462577636,0.0234822484172458,0.00612617568671608,0.000603038690950819
"Arg_C1.N0",0.0274884152680603,0.0354468218686403,0.0177907593454445,0.0352979536864644,0.0188458476392997,0.0110300466472681,0.00229739741667636
"Arg_C1.N1",0.0269775180285234,0.0347880103947153,0.0174601018861609,0.0346419090602445,0.0184955803932462,0.0108250431792596,0.00225469818728003
"Arg_C1.N2",0.0269816031293729,0.0347932782140554,0.0174627457993459,0.0346471547516235,0.018498381109463,0.0108266823727232,0.00225503961191552
"Arg_C1.N3",0.0269530018996735,0.034756396391845,0.0174442348193246,0.0346104278301599,0.0184787723242365,0.0108152058000034,0.00225264920920727
"Arg_C1.N4",0.0283770974713424,0.0365927940709113,0.0183659227887942,0.0364391130778483,0.0194551213736707,0.0113866407266416,0.00237167075412871
"Arg_C2.N0",0.0278327183112129,0.0186831902160739,0.00613284255879801,0.0151576497876235,0.0418598132607337,0.00988801628165369,0.00183160313324288
"Arg_C2.N1",0.0273154218858217,0.0183359460996061,0.0060188580846246,0.0148759310556595,0.0410818104953809,0.00970423848706162,0.00179756112192339
"Arg_C2.N2",0.027319558156299,0.0183387226435966,0.00601976949472261,0.0148781836632989,0.041088031357558,0.00970570796300619,0.00179783332850573
"Arg_C2.N3",0.0272905986854938,0.018319283106661,0.00601338837613175,0.0148624123855245,0.0410444769332434,0.0096954196556958,0.00179592757318007
"Arg_C2.N4",0.0287325316032735,0.0192872053372315,0.00633111327341082,0.0156476865365522,0.0432131132138131,0.0102076892787631,0.00189081764490659
"Arg_C3.N0",0.0278178223805283,0.0218928011278721,0.00920627630443577,0.0178246890698387,0.0388769049812925,0.0219708090375128,0.00911056972949457
"Arg_C3.N1",0.0273008028099337,0.021485903478361,0.00903516927220974,0.0174934009838272,0.0381543422836943,0.0215624615374968,0.00894124149045684
"Arg_C3.N2",0.0273049368641253,0.0214891570065735,0.00903653742964087,0.017496049943244,0.038160119850965,0.0215657266638038,0.00894259543752666
"Arg_C3.N3",0.0272759928931858,0.0214663779154245,0.00902695845576579,0.017477503657721,0.038119669090499,0.0215428664096774,0.00893311604666163
"Arg_C3.N4",0.0287171540968777,0.0226005808440653,0.00950390909796578,0.0184009494250026,0.0401337694912322,0.0226811107008384,0.00940510839800727
"Arg_C4.N0",0.0278193444882613,0.00933063852806189,0.00138302251550303,0.0166311795801771,0.0402009305216742,0.0194103915096279,0.00697542634043584
"Arg_C4.N1",0.0273022966261007,0.00915722010613005,0.00135731777562069,0.0163220739556672,0.039453759606894,0.0190496317035796,0.00684578167985244
"Arg_C4.N2",0.0273064309092708,0.00915860675100299,0.00135752331121156,0.0163245455469461,0.0394597339382645,0.01905251631539,0.00684681831028393
"Arg_C4.N3",0.0272774853524431,0.00914889838102343,0.00135608430682225,0.016307241085929,0.0394179055511844,0.0190323201315498,0.00683956049891904
"Arg_C4.N4",0.0287187254123733,0.00963229186799341,0.00142773471716266,0.0171688545660265,0.0415005999022268,0.0200379165735862,0.00720093723822289
"Arg_C5.N0",0.0277552465702695,0.0110338444789005,0.002326808609849,0.0371360119218302,0.0173738521013111,0.0404077234113697,0.0286495944459133
"Arg_C5.N1",0.0272393900295411,0.0108287704308417,0.00228356275303812,0.0364458053097132,0.0170509432318758,0.0396567090576967,0.0281171156272265
"Arg_C5.N2",0.0272435147832478,0.0108304101903467,0.002283908550291,0.0364513241566347,0.0170535251929445,0.0396627141177614,0.0281213732904495
"Arg_C5.N3",0.0272146359213558,0.0108189296640328,0.00228148754409874,0.0364126847660941,0.017035447995491,0.0396206705684812,0.0280915638797169
"Arg_C5.N4",0.0286525552530778,0.0113905613390439,0.00240203279261026,0.0383365945148851,0.0179355371994306,0.0417140782587212,0.0295758167985029
"Arg_C6.N0",0.0298686670115479,0.00518612979719121,0.000427295262783591,0.0378216471464333,0.0210673570022249,0.0923302532754459,0.151522818661313
"Arg_C6.N1",0.0293135306279947,0.00508974085705156,0.000419353596713225,0.0371186973798165,0.0206758009815333,0.0906142114045359,0.148706629045516
"Arg_C6.N2",0.0293179694610525,0.0050905115692242,0.000419417098050047,0.0371243181237288,0.0206789318374183,0.0906279327725208,0.148729147124953
"Arg_C6.N3",0.0292868916196695,0.00508511549639017,0.000418972503607875,0.0370849653394518,0.0206570116099986,0.0905318647037545,0.148571490195242
"Arg_C6.N4",0.0308343011745749,0.00535379392904944,0.000441109441159315,0.0390443958740806,0.0217484506613192,0.0953152290262515,0.156421450737342
