"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Asp_2.2",130.6675559,4437.02612073,11025.86102451,9272614.70168393,15830974.3489042,17589603.4487437,31910.92568592,43542.10281007,73380.08136877,29609028.3502374,14292665.7042529,5251031.03175025,23434.79631562,35510.91174073,44868.34288459,136866.54374628,12519773.6620049,17206664.2046598,17743642.1701452,0,16132308.3337605,16184865.327694,52275.69402676,61422.03148585,44389.32590258,60301.33783455
"Asp_3.2",1997.62072992,2951.2668042,5053.84300046,5005367.21453447,4399907.41467748,7036061.48728021,11683.82025749,26575.18677888,54755.65045991,12508690.5740376,5888498.53884284,2888176.0488345,13133.07636781,27608.40656593,17337.4071184,85306.30914182,3296968.54542454,6972704.592876,9470837.7785784,2979.43116147,8346732.03401658,4317726.80596841,33254.49839255,24431.79743195,38331.33475071,45736.21814872
"Asp_3.3",26620.43839256,70242.78444964,40949.8325577,4088624.65267086,3801163.90088721,6234996.20744354,41477.91680273,63855.42068474,130108.59249725,10729010.6463791,5231512.80837443,2587178.14628046,57505.52737838,62352.77896369,47944.2689083,125252.97735559,2770799.2466503,6151601.12801057,8150042.86750917,64598.97083515,7336555.27194276,3642880.10778376,85908.16785285,87785.42591507,73231.81505776,105472.0231559
"Asp_4.3",101179.84563099,143866.33205353,112446.82415169,36276778.6273353,38031086.1915895,50977855.9231936,169857.42310461,265774.31981013,538241.64721657,80536367.2017673,43215206.8387484,21140026.741543,155304.48894931,289528.48627856,193794.09614713,834462.30480438,30621064.6547962,52807452.5162356,64653749.891168,159777.13522499,56070182.1992358,41456420.1002986,323595.59378607,314782.0300687,437587.02939057,408787.13682527
"Glu_0.0",12486857.8261479,16929274.8614046,13807564.6032733,44784461.985677,130871609.755708,77082126.481127,9593268.72836186,15248352.9271331,14047693.6777257,104577150.256274,64115040.6149072,39381511.7139596,10625821.2782157,16569076.3506333,10889965.4515998,19210520.7950276,115022936.0659,74800873.4472814,68077183.5621465,19930925.629442,54149565.9457138,118144637.202201,8728780.76825927,15248353.1984233,19450654.1802836,12246707.5658505
"Glu_1.0",30248.88449115,65659.00582783,44108.15472228,2915984.81015492,10099564.6759631,6279320.69135959,58078.16965259,82219.30959514,114256.86971826,9369408.88529127,4954989.04235488,2348294.56240425,56113.59474856,92390.98071087,49131.8447678,185243.77047442,8547217.43437242,6155141.28531984,4708158.97788073,74592.58482906,4139344.2619633,8883739.32502127,66845.65881754,126162.32392,129389.46708748,79105.53365264
"Glu_1.1",52769.18868057,102725.38056086,65755.3457632,14588844.1767272,31967317.2439896,24682261.6519499,201096.84049507,431855.8116558,641498.53973798,34901577.1989376,19534339.599417,11820268.0658462,178835.592799,444756.41687332,288320.55117818,910056.39074998,26348553.4881794,24848961.4202421,23195964.1155749,95279.58908161,21256567.6813484,28571128.6614299,356839.47901053,360586.17453266,749341.15595731,474889.17712919
"Glu_2.1",0,541.75886321,1452.59669379,9706960.55774656,13971133.1012074,14131213.94356,97255.69689869,231066.04924301,328886.68709169,19949657.9117697,11309121.8296513,7757987.85104744,97454.30791425,220684.41071379,146002.74892836,515423.56624735,12153914.8893941,14504313.6762528,15500869.6532266,0,13621587.4205952,13287511.8676632,198542.26511245,201729.83513722,356800.15460691,262626.53262873
"Glu_2.2",9833.35212301,11127.44128797,42949.69065687,5827353.47534164,6054788.5982872,6453127.08415732,54254.02300692,149661.06252226,241743.04528191,9360215.62641971,5062833.9941315,4908758.83684281,56194.87493467,135134.99095022,89085.49598186,418121.20946514,4834319.70763332,6504605.51365763,9370742.54778229,27346.00375445,7922610.17350017,5144985.89273253,151889.69592343,110767.49625574,210453.97027997,231751.35706199
"Glu_3.2",9670.99469284,7259.07620785,25344.37866311,38665703.8648018,35527809.5899814,45220126.2269198,361825.45319516,924701.89808127,1764733.95182508,63226672.7018654,36775950.9339767,32598149.2458183,354552.65435803,983004.25153341,652982.33710365,2759139.90139603,31585407.999415,47258380.963891,60397946.7761459,14465.70020764,51103421.2698034,35342304.436857,1098307.92992174,753776.73765872,1550858.38437428,1440351.72949969
"Glu_3.3",0,5802.76537111,11820.34768848,855346.34599694,489962.71405345,630673.94634547,0,18697.17231211,24826.1445704,925789.50877733,473674.5283314,628043.11438651,7576.1602477,13366.76915934,8535.89150935,39202.53084386,369279.93244099,609135.35902831,1461192.33290378,8246.22078799,1036844.12462922,473588.52589337,13428.51362496,8929.893294,15243.59612788,22996.41384825
"Glu_4.3",27855.99418819,35331.74116595,32792.77249452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38604.53573741,0,0,0,0,0,0
"Glu_4.4",104987.77257745,133428.62036211,120121.8313154,9439917.73300018,6615003.02071942,9392754.91587611,156948.50136301,334940.86092006,550422.82518955,13431398.4334928,7511479.88749271,7716816.47131551,149252.10035518,341244.5686484,222199.91067769,834732.01174554,5879019.52789004,10061161.7737169,15007712.0666408,161489.18473265,12309030.4259147,6633135.55170148,332606.74758635,291576.75021949,495920.77351067,448706.1947507
"Glu_5.4",2814256.66729969,3790772.48140268,3199691.7802308,91336756.8651803,52585536.9954954,82146782.691419,3139819.47803217,5991538.8905876,10157963.6894941,109827893.646813,68577206.446065,81938119.2008123,3242620.53394436,6240853.65777246,4225314.7977587,14489791.9438665,47325235.7551132,89486007.9907234,128230204.944199,4551410.72175568,110611805.901686,53726575.3900727,6137401.22391032,5677188.20792962,8979851.93021146,8346324.70870802
"Gly_0.0",1801357.77481615,4508976.91221405,222644.59019082,18684912.2222025,16559083.8855448,7764867.71389733,1376191.22486951,4475428.07717425,5012120.70163114,19244340.7318493,7697736.29273972,19915654.9434254,3446071.80843542,4542559.49833187,2662745.83866678,8111713.38987834,12754970.0199466,11524227.2987237,41062052.6080738,3211083.31547064,19915654.9434254,16559083.8855448,2629313.99533988,186842.18919549,3860056.04352909,1085291.30871476
